NAME_1,Value
Andaman and Nicobar Islands ,445.9880952380954
Andhra Pradesh ,1862.146428571428
Arunachal Pradesh ,2495.62380952381
Assam ,3874.0523809523806
Bihar ,2346.815476190475
Chandigarh ,86.85833333333332
Chhattisgarh ,1488.319047619047
Dadra and Nagar Haveli ,203.97261904761905
Daman and Diu ,35.59285714285715
Delhi ,56.383333333333326
Goa ,283.797619047619
Gujarat ,2246.8083333333334
Haryana ,820.1999999999998
Himachal Pradesh ,1066.1833333333332
Jammu and Kashmir ,798.6119047619047
Jharkhand ,1026.6714285714286
Karnataka ,2984.564285714286
Kerala ,3528.2976190476197
Lakshadweep ,148.01666666666668
Madhya Pradesh ,3426.5166666666673
Maharashtra ,3587.905952380952
Manipur ,166.78095238095239
Meghalaya ,920.6202380952382
Mizoram ,276.28690476190485
Nagaland ,391.96904761904767
Orissa ,3477.989285714285
Puducherry ,132.69761904761904
Punjab ,696.7869047619049
Rajasthan ,1400.8523809523813
Sikkim ,229.69761904761899
Tamil Nadu ,2808.3392857142862
Telangana,79.44768115942037
Tripura ,578.6250000000001
Uttar Pradesh ,3925.186904761905
Uttarakhand ,1388.558333333333
West Bengal ,2463.183333333334
